nitiji,kennsuu,09:00,09:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:30,19:00,23:59
2017/07/11,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2017/07/13,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017/07/14,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017/07/15,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017/07/16,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017/07/17,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2017/07/18,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017/07/27,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2017/07/28,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2017/08/16,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2017/08/17,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2017/08/18,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
2017/08/19,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2017/08/20,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017/08/21,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2017/08/22,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017/08/23,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2017/08/25,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017/08/28,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017/09/16,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2017/09/17,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017/09/18,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2017/09/19,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2017/09/20,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2017/09/21,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2017/09/22,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017/09/27,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017/09/29,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017/10/02,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017/10/04,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017/10/06,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017/10/11,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017/10/13,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017/10/17,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017/10/18,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017/10/20,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017/10/23,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017/10/25,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017/10/27,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017/10/30,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017/11/01,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017/11/06,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017/11/07,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017/11/08,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2017/11/09,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
2017/11/10,3,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
2017/11/11,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2017/11/12,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2017/11/13,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017/11/14,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2017/11/15,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2017/11/17,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017/11/18,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017/11/19,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2017/11/20,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017/11/21,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017/11/22,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2017/11/24,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2017/11/25,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017/11/26,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017/12/28,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017/12/29,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018/01/19,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2018/01/20,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2018/01/21,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018/01/22,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2018/01/23,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2018/01/24,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018/01/25,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2018/02/01,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2018/02/02,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2018/02/03,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2018/02/04,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018/02/05,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
